Time,price
2006/8/27,622.53
2006/8/28,614.78
2006/8/29,614.95
2006/8/30,619.28
2006/8/31,627.3
2006/9/1,625.45
2006/9/2,625.45
2006/9/3,625.45
2006/9/4,626.5
2006/9/5,638.3
2006/9/6,633.7
2006/9/7,616.8
2006/9/8,610.8
2006/9/9,610.8
2006/9/10,610.8
2006/9/11,589.74
2006/9/12,587.45
2006/9/13,590.19
2006/9/14,575.25
2006/9/15,579.33
2006/9/16,579.33
2006/9/17,579.33
2006/9/18,587.2
2006/9/19,573.65
2006/9/20,576.8
2006/9/21,584.2
2006/9/22,589.6
2006/9/23,589.6
2006/9/24,589.6
2006/9/25,590.8
2006/9/26,592
2006/9/27,603.1
2006/9/28,601.3
2006/9/29,598.3
2006/9/30,598.3
2006/10/1,598.3
2006/10/2,596.7
2006/10/3,574.5
2006/10/4,567
2006/10/5,574.3
2006/10/6,574.1
2006/10/7,574.1
2006/10/8,574.1
2006/10/9,577.1
2006/10/10,573
2006/10/11,573
2006/10/12,579.3
2006/10/13,590.4
2006/10/14,590.4
2006/10/15,590.4
2006/10/16,596
2006/10/17,590.1
2006/10/18,590.2
2006/10/19,599.4
2006/10/20,591.5
2006/10/21,591.5
2006/10/22,591.5
2006/10/23,581.95
2006/10/24,586.45
2006/10/25,591.05
2006/10/26,597.15
2006/10/27,599.95
2006/10/28,599.95
2006/10/29,599.95
2006/10/30,604.1
2006/10/31,606.6
2006/11/1,617.6
2006/11/2,624.7
2006/11/3,627.4
2006/11/4,627.4
2006/11/5,627.4
2006/11/6,623.2
2006/11/7,624.8
2006/11/8,615.8
2006/11/9,633.41
2006/11/10,628.55
2006/11/11,628.55
2006/11/12,628.55
2006/11/13,625.7
2006/11/14,620.88
2006/11/15,623.1
2006/11/16,618.25
2006/11/17,621.7
2006/11/18,621.7
2006/11/19,621.7
2006/11/20,622.9
2006/11/21,627.5
2006/11/22,630.3
2006/11/23,631.25
2006/11/24,638.2
2006/11/25,638.2
2006/11/26,638.2
2006/11/27,640.6
2006/11/28,640
2006/11/29,636.65
2006/11/30,648
2006/12/1,645.6
2006/12/2,645.6
2006/12/3,645.6
2006/12/4,646.2
2006/12/5,643.15
2006/12/6,630.95
2006/12/7,633.84
2006/12/8,625.15
2006/12/9,625.15
2006/12/10,625.15
2006/12/11,630.45
2006/12/12,630.05
2006/12/13,628.75
2006/12/14,625.85
2006/12/15,615.35
2006/12/16,615.35
2006/12/17,615.35
2006/12/18,616.25
2006/12/19,622.95
2006/12/20,620.44
2006/12/21,618.5
2006/12/22,621.01
2006/12/23,621.01
2006/12/24,621.01
2006/12/25,620.75
2006/12/26,624.7
2006/12/27,627.2
2006/12/28,634.9
2006/12/29,636.7
2006/12/30,636.7
2006/12/31,636.7
2007/1/1,636.8
2007/1/2,640.5
2007/1/3,627.5
2007/1/4,622
2007/1/5,607.4
2007/1/6,607.4
2007/1/7,607.4
2007/1/8,610
2007/1/9,613.7
2007/1/10,611.3
2007/1/11,611.6
2007/1/12,627.2
2007/1/13,627.2
2007/1/14,627.2
2007/1/15,626.7
2007/1/16,624.8
2007/1/17,631.8
2007/1/18,627.7
2007/1/19,635.4
2007/1/20,635.4
2007/1/21,635.4
2007/1/22,633.4
2007/1/23,646.7
2007/1/24,648.8
2007/1/25,646.1
2007/1/26,646
2007/1/27,646
2007/1/28,646
2007/1/29,643.7
2007/1/30,647.3
2007/1/31,653.2
2007/2/1,657.2
2007/2/2,647.85
2007/2/3,647.85
2007/2/4,647.85
2007/2/5,648.45
2007/2/6,653.3
2007/2/7,651.45
2007/2/8,660.45
2007/2/9,666.85
2007/2/10,666.85
2007/2/11,666.85
2007/2/12,661.1
2007/2/13,664.25
2007/2/14,669.13
2007/2/15,669.75
2007/2/16,669.05
2007/2/17,669.05
2007/2/18,669.05
2007/2/19,670.75
2007/2/20,657.25
2007/2/21,678.85
2007/2/22,677.45
2007/2/23,682.55
2007/2/24,682.55
2007/2/25,682.55
2007/2/26,686.55
2007/2/27,663.35
2007/2/28,669.35
2007/3/1,664.45
2007/3/2,642.45
2007/3/3,642.45
2007/3/4,642.45
2007/3/5,636.6
2007/3/6,646.5
2007/3/7,649
2007/3/8,651.8
2007/3/9,650.27
2007/3/10,650.27
2007/3/11,650.27
2007/3/12,650.5
2007/3/13,643.8
2007/3/14,644.7
2007/3/15,646.6
2007/3/16,653.4
2007/3/17,653.4
2007/3/18,653.4
2007/3/19,654.2
2007/3/20,658.8
2007/3/21,664.2
2007/3/22,664
2007/3/23,657.4
2007/3/24,657.4
